year,selling_price,km_driven,fuel,transmission,owner,engine,max_power
2008,105000,65000,2,2,2,796.0,46.3
2013,625000,90000,1,2,1,1248.0,88.76
2009,135000,80000,2,2,1,1086.0,62.1
2015,700000,110000,1,2,1,1248.0,88.76
2019,690000,1303,2,2,0,1198.0,86.7
2017,795000,41000,2,1,0,1497.0,117.6
2013,625000,39000,2,1,0,1798.0,138.03
2015,535000,40000,1,2,0,1248.0,88.5
2016,805000,49900,2,2,0,1797.0,147.5
2018,811000,11000,2,2,0,1198.0,108.5
2011,375000,49000,2,2,0,1598.0,103.6
2012,550000,95000,2,2,0,1797.0,147.5
2016,645000,11000,2,1,0,1598.0,103.5
2014,599000,46100,2,2,0,1373.0,93.7
2017,875000,18000,2,1,0,1497.0,116.3
2019,894999,9654,2,1,0,1197.0,81.8
2011,175000,11000,2,2,0,998.0,67.05
2012,340000,24300,2,2,0,1197.0,81.8
2018,1025000,8000,1,1,0,1497.0,108.5
2016,850000,20000,2,2,0,1373.0,91.1
2011,300000,100000,1,2,1,1598.0,103.6
2018,575000,9500,2,2,0,1196.0,86.8
2011,160000,120000,1,2,0,1399.0,68.0
2015,515000,36600,2,2,0,1197.0,81.8
2015,390000,50000,2,1,1,998.0,67.0
2016,550000,14000,2,2,1,1197.0,81.83
2010,220000,120000,1,2,0,1248.0,73.9
2015,425000,70000,2,2,0,1197.0,82.0
2019,480000,13000,2,2,0,999.0,75.0
2014,400000,60000,2,2,1,1197.0,82.0
2014,487000,35000,2,2,0,1197.0,85.8
2016,386000,44000,2,2,1,1197.0,82.0
2010,300000,60000,1,2,0,1364.0,87.2
2016,450000,15000,2,2,1,1198.0,82.0
2017,490000,90000,1,2,0,1248.0,74.0
2009,345000,47000,2,2,1,1497.0,118.0
2010,215000,120600,2,2,1,998.0,67.1
2010,320000,100000,2,2,2,1599.0,103.2
2016,459999,60000,2,2,1,1197.0,83.14
2020,720000,5000,2,2,0,1197.0,81.86
2017,800000,37000,1,2,0,1248.0,88.5
2019,520000,14000,2,2,0,1199.0,84.0
2015,580000,70000,1,2,0,1248.0,88.76
2012,235000,120000,1,2,0,1458.625015808777,91.51791898382203
2015,600000,50000,2,2,0,1497.0,117.3
2014,290000,60000,2,2,1,1198.0,86.8
2016,360000,50000,3,2,0,998.0,58.16
2017,550000,50000,2,2,0,1197.0,83.14
2013,375000,70000,2,2,0,1197.0,82.85
2018,420000,35000,2,1,0,998.0,67.0
2017,550000,20000,2,2,0,1197.0,81.8
2018,270000,20000,2,2,0,796.0,47.3
2018,700000,7800,2,1,0,1197.0,81.8
2017,500000,20000,2,2,0,1197.0,81.8
2013,320000,31377,2,2,1,1197.0,82.85
2018,700000,50000,1,2,0,1248.0,74.02
2015,290000,60000,2,2,0,998.0,67.04
2012,550000,100000,2,1,0,1794.0,138.1
2012,265000,60000,2,2,0,1198.0,86.8
2018,830000,5000,2,1,0,1197.0,83.1
2017,800000,60000,1,2,0,2179.0,147.94
2011,160000,25000,2,2,1,796.0,46.3
2018,335000,30000,2,2,0,799.0,53.3
2017,329000,80000,2,2,1,1198.0,67.0
2017,775000,75000,1,2,0,1248.0,88.5
2020,524000,32000,2,2,0,1197.0,81.86
2015,245000,40000,2,2,0,796.0,47.3
2012,275000,93000,2,2,1,1197.0,80.0
2018,520000,60000,2,2,0,1193.0,88.7
2008,130000,120000,2,2,1,1458.625015808777,91.51791898382203
2014,550000,37000,2,2,0,1498.0,97.7
2018,910000,15000,2,2,0,1497.0,121.36
2015,300000,80000,2,2,0,1198.0,67.04
2016,350000,140000,2,2,0,998.0,67.04
2013,300000,120000,1,2,1,1493.0,100.0
2010,250000,110000,1,2,1,1248.0,73.9
2017,1100000,37000,1,2,0,1582.0,126.2
2016,270000,44000,2,2,0,799.0,53.3
2015,640000,80000,1,2,0,1248.0,88.76
2015,650000,125000,1,2,0,2179.0,140.0
2017,409999,13500,2,2,0,1196.0,73.0
2011,165000,75000,2,2,0,1086.0,62.1
2007,80000,120000,2,2,1,1495.0,94.0
2012,535000,120000,1,2,0,2179.0,140.0
2013,700000,70000,1,2,0,2494.0,100.57
2013,550000,70000,1,2,0,1248.0,74.0
2019,680000,15000,2,1,0,1199.0,88.76
2009,200000,53000,2,2,1,1197.0,78.9
2014,500000,120000,1,2,1,1248.0,74.0
2016,1000000,70000,1,2,0,1248.0,88.5
2008,110000,120000,2,2,1,1341.0,82.9
2012,320000,100000,2,2,1,1197.0,80.0
2015,350000,100000,2,2,0,1197.0,83.11
2013,170000,162500,1,2,0,1405.0,70.0
2017,800000,39000,1,2,0,1396.0,88.73
2017,500000,75000,1,2,0,1248.0,74.0
2013,530000,92500,1,2,0,1582.0,126.3
2012,360000,158000,1,2,0,1248.0,74.0
2012,310000,120000,1,2,0,1248.0,73.9
2015,725000,50000,1,2,1,1498.0,98.6
2012,340000,110000,1,2,0,1248.0,73.9
2017,550000,2000,1,2,1,1186.0,73.97
2016,380000,70000,1,2,0,1047.0,69.0
2013,350000,90000,2,1,1,1498.0,99.6
2019,610000,2000,2,2,0,1197.0,81.86
2015,525000,20000,2,2,0,1197.0,83.14
2011,480000,120000,1,2,0,2494.0,102.0
2017,780000,35000,1,2,0,2498.0,105.0
2012,320000,193000,1,2,0,1248.0,73.9
2014,375000,80000,2,2,0,1197.0,81.8
2019,300000,40000,2,2,0,1198.0,67.05
2015,500000,70000,1,2,2,1396.0,88.73
2011,404000,122358,1,2,0,2179.0,120.0
2015,500000,75000,1,2,0,2956.0,69.01
2017,350000,120000,1,2,0,1047.0,69.0
2015,380000,40000,2,2,0,1193.0,88.7
2008,114999,95200,2,2,2,1495.0,94.0
2014,335000,33033,2,2,0,1198.0,86.8
2015,465000,63063,2,1,0,1197.0,82.0
2012,290000,60000,1,2,0,1248.0,88.76
2011,450000,80000,1,2,2,2179.0,138.1
2016,220000,35000,2,2,0,796.0,34.2
2017,450000,35000,2,2,0,1197.0,82.0
2017,450000,35000,2,2,0,1197.0,82.0
2013,290000,50000,2,1,0,1197.0,78.9
2016,520000,20000,2,2,0,1197.0,81.8
2011,265000,20000,2,1,0,1197.0,78.9
2012,330000,50000,2,2,1,1197.0,85.8
2012,330000,50000,2,2,1,1197.0,85.8
2014,509999,120000,1,2,0,2523.0,62.1
2014,500000,70000,2,2,0,1591.0,121.3
2015,525000,50000,2,2,0,1197.0,81.86
2019,675000,16500,2,2,0,1197.0,81.8
2010,300000,70000,2,2,0,1197.0,80.0
2017,650000,25000,1,2,0,1248.0,74.0
2014,409000,70000,2,2,1,1197.0,85.8
2015,395000,80000,1,2,1,1120.0,70.0
2010,215000,70000,2,2,1,1458.625015808777,91.51791898382203
2014,400000,70000,2,2,1,1197.0,85.8
2012,120000,60000,2,2,2,1199.0,79.4
2018,645000,10000,2,1,0,1199.0,84.0
2006,81000,80000,2,2,0,796.0,37.0
2013,535000,90000,2,2,2,1373.0,93.7
2014,555000,80100,1,2,1,1461.0,108.5
2014,725000,120000,2,2,0,1497.0,117.3
2016,229999,40000,2,2,0,799.0,53.3
2013,800000,160000,1,2,1,2494.0,100.6
2017,409999,47000,2,2,0,998.0,67.04
2017,400000,26000,2,2,0,1199.0,84.0
2018,520000,29000,1,2,0,1186.0,73.97
2016,650000,50000,2,1,0,1197.0,83.1
2011,325000,58000,2,2,2,1298.0,88.2
2012,420000,120000,2,1,0,1197.0,85.8
2014,400000,50000,2,2,0,1197.0,81.8
2010,254999,80000,2,2,2,1197.0,80.0
2017,351000,36000,2,2,0,998.0,67.04
2011,185000,185000,1,2,2,1248.0,73.9
2011,250000,50000,1,2,0,1461.0,63.1
2013,500000,50000,2,2,1,1591.0,121.3
2007,85000,80000,2,2,1,998.0,67.1
2011,265000,90000,1,2,2,1248.0,73.9
2010,130000,162000,2,2,1,998.0,66.1
2013,480000,110000,1,2,2,1248.0,88.76
2008,170000,120000,1,2,2,1248.0,75.0
2011,275000,45000,1,2,0,1461.0,63.1
2010,170000,90000,1,2,1,1399.0,68.0
2019,1090000,16500,2,2,0,1197.0,110.0
2017,1100000,67000,1,1,0,1582.0,126.2
2018,610000,52000,2,2,0,1197.0,81.8
2016,335000,40000,2,2,0,1198.0,67.0
2015,434999,40000,2,2,0,1197.0,82.0
2018,390000,13000,2,2,0,799.0,53.26
2012,325000,40000,2,2,0,1198.0,86.8
2019,640000,10000,2,2,0,1198.0,73.75
2012,450000,9000,2,2,0,1498.0,97.7
2013,400000,70000,1,2,1,1364.0,67.06
2009,215000,60000,2,2,0,1197.0,78.9
2014,570000,40000,1,2,0,1461.0,83.8
2008,325000,80000,1,2,2,2494.0,102.0
2011,150000,50000,2,2,1,1193.0,64.08
2013,690000,68000,2,1,0,1797.0,147.5
2012,64000,18000,2,2,0,624.0,37.5
2013,250000,120000,1,2,0,1461.0,63.1
2016,550000,60000,1,2,1,1248.0,74.0
2010,140000,70000,2,2,2,1197.0,78.9
2016,300000,30000,2,2,0,799.0,53.3
2016,800000,70000,2,1,0,1798.0,189.3
2015,503000,110000,1,2,0,2179.0,147.94
2013,225000,58343,2,2,0,998.0,67.05
2018,740000,38817,1,2,0,1248.0,74.0
2016,550000,56494,2,2,0,1199.0,88.7
2013,750000,79328,1,2,1,2494.0,100.6
2019,650000,5621,2,1,0,1197.0,81.8
2017,625000,25538,2,2,0,1496.0,88.73
2018,600000,69779,2,1,0,1197.0,81.8
2017,450000,56290,1,2,0,1186.0,73.97
2019,779000,7032,2,1,0,1199.0,88.76
2016,645000,11000,2,1,0,1598.0,103.5
2010,150000,106000,2,2,2,1197.0,78.9
2012,265000,162000,1,2,2,1458.625015808777,91.51791898382203
2015,480000,90000,1,2,0,1248.0,74.0
2014,535000,70000,1,2,2,1582.0,126.32
2012,300000,100000,1,2,1,1248.0,88.8
2016,240000,50000,2,2,0,796.0,47.3
2017,750000,19000,1,1,0,1248.0,74.02
2020,409999,35000,3,2,0,1196.0,61.7
2014,215000,80000,2,2,1,998.0,67.05
2010,150000,80000,2,2,0,998.0,67.1
2013,219000,50000,2,2,1,814.0,55.2
2018,325000,100000,2,2,0,1199.0,84.0
2013,260000,120000,2,2,1,1196.0,73.0
2015,503000,110000,1,2,0,2179.0,147.94
2013,225000,58343,2,2,0,998.0,67.05
2018,740000,38817,1,2,0,1248.0,74.0
2016,550000,56494,2,2,0,1199.0,88.7
2013,750000,79328,1,2,1,2494.0,100.6
2019,650000,5621,2,1,0,1197.0,81.8
2017,625000,25538,2,2,0,1496.0,88.73
2018,600000,69779,2,1,0,1197.0,81.8
2017,450000,56290,1,2,0,1186.0,73.97
2019,779000,7032,2,1,0,1199.0,88.76
2016,645000,11000,2,1,0,1598.0,103.5
2019,700000,40000,1,1,0,1498.0,78.9
2017,950000,45000,1,2,0,1396.0,88.7
2010,160000,80000,2,2,1,796.0,46.3
2015,409999,135000,1,2,1,1120.0,71.01
2015,840000,120000,1,2,1,2494.0,100.6
2013,450000,67000,1,2,0,1364.0,67.1
2017,900000,50000,1,2,0,1248.0,74.02
2011,254999,110000,1,2,1,1461.0,63.1
2009,130000,40000,2,2,0,796.0,37.0
2013,530000,120000,1,2,1,1248.0,74.0
2015,520000,110000,1,2,1,1498.0,88.8
2011,229999,170000,1,2,1,1461.0,64.1
2016,600000,47000,1,2,0,1248.0,74.0
2015,409999,93000,2,2,0,1197.0,81.86
2010,120000,70000,2,2,1,796.0,37.0
2014,320000,50000,2,2,0,998.0,67.04
2015,292000,70000,1,2,0,1399.0,68.05
2012,390000,80000,1,2,0,2179.0,138.03
2016,550000,44000,2,2,0,1196.0,86.8
2014,385000,25000,2,2,0,998.0,67.04
2016,800000,25000,2,2,0,1591.0,121.3
2019,675000,10000,2,2,0,1197.0,81.8
2018,950000,30000,1,2,0,1498.0,98.96
2015,610000,50000,1,2,1,1396.0,88.73
2012,525000,120000,1,2,0,1396.0,88.73
2019,700000,40000,1,1,0,1498.0,78.9
2015,375000,80000,1,2,0,2523.0,62.1
2015,580000,90000,1,2,0,1461.0,83.8
2015,434999,50000,2,2,1,1197.0,83.11
2020,350000,2136,2,2,0,999.0,67.0
2015,600000,35000,2,2,0,1197.0,81.83
2017,735000,70000,1,2,0,1248.0,74.0
2018,1050000,18000,1,2,0,1461.0,108.45
2016,420000,110000,1,2,1,1248.0,73.74
2017,800000,60000,1,2,0,1248.0,88.5
2016,600000,147000,1,2,1,1248.0,74.0
2011,500000,99500,1,2,2,1991.0,147.9
2011,200000,110000,1,2,1,1405.0,71.0
2016,370000,35000,2,2,0,1198.0,67.04
2010,260000,110000,1,2,1,1493.0,110.0
2016,280000,100000,1,2,0,1198.0,77.0
2014,610000,21000,2,2,0,1373.0,93.7
2013,300000,60000,1,2,1,1498.0,90.0
2010,140000,40000,1,2,0,1405.0,70.0
2008,229999,50000,2,2,0,1086.0,68.05
2010,200000,65000,2,2,1,998.0,66.1
2011,200000,80000,2,2,0,998.0,67.1
2015,560000,119000,1,2,0,1582.0,126.2
2016,750000,80000,1,2,0,1248.0,88.5
2017,585000,90000,1,2,0,1248.0,74.0
2016,760000,20000,2,2,0,1591.0,121.4
2014,430000,80000,1,2,1,1248.0,74.0
2020,480000,44665,1,2,0,1198.0,77.0
2019,643000,10000,1,2,0,1493.0,113.4
2018,500000,60000,2,2,0,1197.0,81.86
2016,425000,22000,2,2,0,1198.0,86.8
2014,250000,25000,2,2,0,796.0,47.3
2016,285000,70000,1,2,0,793.0,47.0
2008,160000,123000,2,2,2,1298.0,85.8
2011,250000,70000,1,2,1,1598.0,103.6
2013,170000,70000,2,2,1,1199.0,79.4
2013,409999,45000,1,2,0,1364.0,67.06
2015,400000,40000,2,1,0,1197.0,82.0
2019,700000,30000,1,2,0,1248.0,74.02
2007,350000,90000,2,1,0,1799.0,130.0
2016,660000,34000,2,2,1,1373.0,91.1
2017,268000,25000,2,2,0,796.0,47.3
2016,270000,50000,2,2,0,796.0,47.3
2013,300000,50000,1,2,0,936.0,57.6
2017,450000,90000,2,2,0,1199.0,84.0
2012,220000,70000,1,2,1,936.0,57.6
2009,250000,146000,1,2,1,2179.0,138.0
2012,300000,85000,2,2,1,1196.0,70.0
2016,561000,30000,1,2,0,1248.0,74.0
2018,755000,15000,1,2,0,1248.0,74.02
2017,235000,25000,2,2,0,799.0,53.64
2011,165000,90000,2,2,0,998.0,67.1
2008,190000,80000,1,2,1,1248.0,73.9
2011,110000,50000,1,2,0,1396.0,53.5
2012,320000,80000,1,2,1,2523.0,63.0
2010,330000,110000,1,2,1,1458.625015808777,91.51791898382203
2016,540000,38000,2,2,0,1197.0,81.83
2013,180000,60000,2,2,0,814.0,55.2
2016,270000,100000,2,2,2,1196.0,73.0
2012,450000,30000,2,2,0,1197.0,85.8
2014,450000,30000,2,2,0,1197.0,85.8
2015,200000,50000,2,2,0,1199.0,76.8
2017,425000,42000,2,2,0,1199.0,84.0
2016,400000,30000,2,2,0,1199.0,82.4
2009,125000,60000,2,2,2,796.0,46.3
2015,900000,22000,2,2,0,1497.0,117.3
2012,450000,90000,1,2,0,1598.0,103.6
2011,210000,46000,2,2,0,998.0,67.1
2018,801000,20000,2,2,0,1197.0,81.83
2014,317000,15000,1,2,0,1405.0,70.0
2015,600000,40000,2,2,1,1373.0,93.7
2014,330000,30000,2,2,1,1197.0,82.85
2017,320000,15000,2,2,1,814.0,55.2
2010,160000,50000,2,2,0,1458.625015808777,91.51791898382203
2007,120000,110000,2,2,1,1341.0,83.0
2009,130000,70000,2,2,1,796.0,46.3
2015,220000,80000,2,2,0,1199.0,82.4
2008,229999,50000,1,2,2,1458.625015808777,91.51791898382203
2015,340000,110000,2,2,0,1193.0,88.7
2013,200000,70000,1,2,1,1399.0,67.0
2010,495000,100000,1,2,1,2523.0,63.0
2015,236000,60000,2,2,0,796.0,47.3
2015,390000,40000,2,2,0,998.0,67.04
2009,275000,90000,1,2,1,1248.0,73.9
2015,503000,110000,1,2,0,2179.0,147.94
2017,775000,32000,1,2,0,1248.0,88.5
2016,850000,58000,1,2,0,1582.0,126.2
2018,750000,5000,1,2,0,1248.0,88.5
2018,570000,25000,2,2,0,1197.0,81.83
2018,580000,32000,2,2,0,1197.0,81.86
2016,484999,30000,2,2,0,1199.0,88.7
2017,700000,43000,2,2,0,1497.0,117.3
2012,415000,60000,2,2,0,1497.0,113.42
2015,325000,50000,2,1,0,1198.0,76.0
2018,550000,14200,2,2,0,1196.0,86.8
2017,300000,10000,2,2,0,814.0,55.2
2018,217000,25000,2,2,0,799.0,53.64
2018,700000,19100,2,2,0,1194.0,94.68
2019,466000,25000,2,1,2,1086.0,68.0
2014,484999,54000,1,2,0,1498.0,98.96
2018,670000,35000,1,2,0,1461.0,84.8
2018,500000,20000,2,2,1,1197.0,81.86
2016,675000,52000,1,2,0,1248.0,88.5
2011,220000,120000,1,2,1,1396.0,90.0
2013,630000,120000,1,2,1,1248.0,88.8
2010,250000,90000,1,2,1,1248.0,90.0
2015,300000,101500,1,2,1,1498.0,103.52
2013,525000,75000,1,1,0,1582.0,126.3
2011,204999,97500,2,2,0,1458.625015808777,0.0
2011,204999,97500,2,2,0,1458.625015808777,0.0
2012,480000,55735,1,2,1,1461.0,108.45
2014,605000,80000,1,2,1,2179.0,140.0
2016,250000,50000,2,2,1,796.0,47.3
2013,245000,70000,1,2,1,1399.0,68.1
2012,210000,76000,2,2,2,1197.0,78.9
2020,730000,1500,2,2,0,1197.0,81.8
2012,500000,76000,1,2,0,2523.0,62.1
2015,400000,40000,2,2,0,998.0,67.04
2015,280000,60000,2,2,1,814.0,55.2
2016,375000,53319,1,2,0,936.0,56.3
2017,700000,40906,1,2,0,1498.0,108.62
2012,375000,31711,2,2,1,1496.0,88.7
2012,270000,43755,2,2,1,814.0,55.2
2016,300000,66693,2,2,0,799.0,53.3
2010,225000,59549,2,2,0,998.0,67.1
2010,200000,73730,2,2,0,998.0,67.1
2013,500000,116104,1,2,0,1498.0,98.6
2015,500000,150546,2,2,0,1197.0,81.8
2015,555000,20000,2,2,1,1499.0,110.0
2018,580000,30000,2,1,0,1197.0,81.86
2011,337000,142000,1,2,2,2179.0,138.1
2011,175000,20000,1,2,0,1948.0,68.0
2009,180000,120000,1,2,1,1248.0,90.0
2011,200000,80000,2,2,0,1086.0,68.05
2016,260000,60000,1,2,0,1405.0,69.01
2016,350000,25000,2,2,0,999.0,67.0
2011,409999,50000,1,2,1,2523.0,63.0
2017,655000,126000,1,2,0,1493.0,100.0
2015,370000,170000,1,2,0,1248.0,74.0
2013,200000,24000,2,2,0,796.0,47.3
2017,800000,100000,1,2,1,1248.0,88.5
2019,550000,10000,2,2,0,1199.0,83.81
2012,300000,70000,1,2,1,1399.0,68.0
2017,220000,40000,2,2,0,796.0,34.2
2011,196000,110000,2,2,0,998.0,67.1
2008,135000,80000,2,2,1,1086.0,68.05
2015,299000,16500,2,2,0,1193.0,88.7
2017,300000,30000,2,2,0,998.0,67.05
2017,720000,80000,1,2,0,1248.0,88.5
2016,650000,50000,1,2,2,2179.0,147.94
2016,300000,25000,2,2,0,998.0,67.05
2019,750000,20000,1,2,0,1186.0,73.97
2016,260000,60000,2,2,0,799.0,53.3
2011,300000,70000,1,2,1,1248.0,74.0
2014,600000,50000,1,2,1,2523.0,62.1
2015,250000,52000,2,2,0,998.0,67.05
2014,420000,80000,1,2,0,1248.0,74.0
2015,235000,50000,2,2,0,814.0,55.2
2019,360000,25000,2,2,0,998.0,67.05
2014,380000,50000,1,2,1,1120.0,70.0
2016,650000,125000,1,2,0,1498.0,98.59
2016,350000,80000,2,2,0,998.0,67.04
2017,700000,70000,1,2,0,2523.0,63.0
2010,270000,90000,1,2,2,1396.0,90.0
2017,450000,50000,1,2,0,1248.0,74.0
2016,630000,101000,1,2,0,2498.0,105.0
2010,229999,168000,1,2,0,2498.0,112.0
2010,229999,168000,1,2,0,2498.0,112.0
2011,270000,40000,2,2,0,998.0,67.1
2009,135000,28900,2,2,1,1172.0,65.0
2012,275000,20000,2,2,0,998.0,67.1
2015,503000,110000,1,2,0,2179.0,147.94
2013,225000,58343,2,2,0,998.0,67.05
2018,740000,38817,1,2,0,1248.0,74.0
2016,550000,56494,2,2,0,1199.0,88.7
2013,750000,79328,1,2,1,2494.0,100.6
2019,650000,5621,2,1,0,1197.0,81.8
2017,625000,25538,2,2,0,1496.0,88.73
2018,600000,69779,2,1,0,1197.0,81.8
2017,450000,56290,1,2,0,1186.0,73.97
2019,779000,7032,2,1,0,1199.0,88.76
2016,645000,11000,2,1,0,1598.0,103.5
2015,634000,165000,1,2,0,1493.0,100.0
2012,235000,98500,2,2,1,998.0,66.1
2008,275000,98000,2,2,2,1197.0,78.9
2014,700000,40000,1,2,1,2498.0,105.0
2013,400000,90000,1,2,0,1248.0,92.0
2012,215000,90000,2,2,2,796.0,46.3
2009,150000,110000,1,2,1,1493.0,110.0
2018,950000,77800,1,2,0,1248.0,88.5
2015,730000,100000,1,2,0,1493.0,100.0
2012,135000,120000,1,2,1,1405.0,71.0
2016,350000,80000,2,2,1,1197.0,82.0
2018,535000,21000,2,2,1,1198.0,82.0
2018,455000,100000,2,2,1,1197.0,85.8
2019,655000,25000,2,2,0,1197.0,81.8
2019,800000,30000,1,2,2,1498.0,98.96
2018,340000,51492,2,2,0,1198.0,82.0
2011,300000,72000,1,2,1,1598.0,103.6
2016,370000,60000,2,2,0,1196.0,86.8
2013,330000,136000,1,2,1,2523.0,62.1
2014,238000,60000,2,2,0,1086.0,62.1
2006,72000,110000,2,2,1,1458.625015808777,91.51791898382203
2013,200000,90000,2,2,0,1086.0,62.1
2014,320000,91000,1,2,2,1461.0,84.8
2009,114999,90000,2,2,2,1086.0,62.1
2015,320000,50000,2,2,1,998.0,67.04
2010,210000,20000,2,2,0,1086.0,68.05
2011,200000,120000,1,2,0,2489.0,95.0
2009,135000,150000,2,2,1,1061.0,67.0
2015,350000,52000,1,2,0,1405.0,69.01
2014,350000,167000,1,2,1,2523.0,63.0
2017,680000,40000,1,2,0,1248.0,74.02
2010,200000,190000,1,2,1,1248.0,75.0
2016,300000,50000,2,2,0,999.0,67.0
2011,270000,70000,1,2,1,2498.0,112.0
2012,225000,80000,2,2,1,998.0,67.1
2008,250000,120000,1,2,0,2523.0,63.0
2015,590000,40000,1,2,1,1493.0,100.0
2015,290000,17000,2,2,0,814.0,55.2
2010,100000,180000,2,2,1,998.0,67.1
2016,395000,50000,2,2,0,998.0,67.04
2014,195000,65000,2,2,1,814.0,55.2
2011,45000,10000,2,2,2,624.0,35.0
2009,270000,70000,1,2,1,2523.0,63.0
2014,600000,90000,1,2,1,2499.0,72.4
2015,715000,50000,1,2,0,1396.0,88.73
2019,600000,10000,2,2,0,1197.0,81.86
2019,875000,25000,1,2,0,1493.0,100.0
2011,420000,100000,1,2,1,2179.0,115.0
